customer_id,customer_name,email,registration_date,customer_type,invalid_email
1,Allison Hill,donaldgarcia@example.net,2026-07-01,REGULAR,False
2,Leslie Johnson,robinsonwilliam@example.org,2025-10-17,REGULAR,False
3,Matthew Gardner,shaneramirez@example.org,2026-03-20,VIP,False
4,Melissa Peterson,jasongallagher@example.org,2024-10-19,VIP,False
5,Ian Cooper,lindsay78@example.org,2026-07-25,REGULAR,False
6,Juan Calderon,barbara10@example.net,2025-02-01,REGULAR,False
7,Victoria Wyatt,jamesshawn@example.com,2024-12-12,REGULAR,False
8,Daniel Adams,lynchgeorge@example.net,2025-02-14,VIP,False
9,James Mayo,gabriellecameron@example.org,2025-02-01,REGULAR,False
10,Renee Morales,clarksherri@example.net,2025-04-09,VIP,False
11,Jonathan Wilkerson,ithomas@example.org,2026-03-09,REGULAR,False
12,Deborah Richards,icox@example.net,2025-08-26,PREMIUM,False
13,Anthony Rodriguez,laurahenderson@example.org,2025-06-02,REGULAR,False
14,Zachary Rice,frazierdanny@example.net,2026-03-14,REGULAR,False
15,Martin Rodriguez,amoore@example.net,2026-06-19,PREMIUM,False
16,Valerie Gill,harrellkenneth@example.net,2025-09-06,REGULAR,False
17,Brittany Farmer,georgetracy@example.org,2026-07-30,PREMIUM,False
18,William Roman,brianhumphrey@example.org,2024-10-13,PREMIUM,False
19,Rose Spence,davidalvarez@example.net,2024-12-14,PREMIUM,False
20,Shane Henderson,sarahcampos@example.net,2025-01-11,REGULAR,False
21,Jennifer Powers,samuel87@example.org,2025-02-16,VIP,False
22,George Chapman,briannasmith@example.net,2025-12-11,PREMIUM,False
23,Austin Johnson,chad34@example.net,2025-08-20,PREMIUM,False
24,Carlos Walls,esanchez@example.com,2025-01-02,VIP,False
25,Matthew Gomez,uowens@example.org,2026-01-13,PREMIUM,False
26,Maria Brown,lauren13@example.org,2025-01-02,VIP,False
27,Brenda White,ewright@example.com,2026-04-27,VIP,False
28,Krista Williams,novaksara@example.org,2024-12-15,PREMIUM,False
29,John Hancock,martinaaron@example.com,2025-03-01,REGULAR,False
30,Rachel Mitchell,smoore@example.org,2024-09-22,PREMIUM,False
31,Kimberly Adkins,williamsthomas@example.net,2024-12-08,VIP,False
32,Jordan York,larsonemma@example.org,2025-06-17,REGULAR,False
33,Steve Sanchez,harveyrobert@example.net,2025-10-21,REGULAR,False
34,Taylor Harris,john62@example.net,2025-12-22,VIP,False
35,Eugene Walton,smithchristine@example.net,2024-10-24,VIP,False
36,Daniel Baker,nicole35@example.com,2024-12-08,VIP,False
37,Joshua Turner,contrerasangela@example.net,2024-10-27,VIP,False
38,Brandy Wilson,newtoneric@example.com,2025-11-20,PREMIUM,False
39,Grant Watts,william40@example.org,2025-12-13,VIP,False
40,Donald Smith,danagreen@example.net,2025-07-17,REGULAR,False
41,Jessica Smith,landryhannah@example.org,2025-10-05,REGULAR,False
42,Jacob Tran,tanderson@example.com,2026-07-07,REGULAR,False
43,Valerie Williams,jason31@example.com,2026-04-05,PREMIUM,False
44,Shelly Dickson,sarayoung@example.org,2026-04-21,REGULAR,False
45,Sierra Johnson,kimberly63@example.com,2024-12-09,VIP,False
46,Ashley Brennan,dwalker@example.com,2025-04-02,PREMIUM,False
47,Shelby Walker,raymondramirez@example.org,2026-03-31,PREMIUM,False
48,Martin Ross,sheila14@example.org,2025-11-01,VIP,False
49,Deborah Rodriguez,yreed@example.com,2025-07-12,PREMIUM,False
50,Kayla Cruz,jonathanfletcher@example.org,2025-09-15,VIP,False
51,Kimberly Ball,michaeljones@example.net,2026-07-24,PREMIUM,False
52,Erik Charles,william65@example.com,2026-01-31,PREMIUM,False
53,Cameron Fisher,lbyrd@example.net,2025-10-24,PREMIUM,False
54,Joshua Smith,jason99@example.net,2025-04-15,REGULAR,False
55,Jeremy Lewis,yleon@example.net,2024-12-17,REGULAR,False
56,Diane Beck,clarence34@example.org,2026-04-26,REGULAR,False
57,Alexander Sanchez,xcarr@example.org,2025-07-27,REGULAR,False
58,Mark Lee,psnyder@example.org,2025-12-30,PREMIUM,False
59,Stephanie Dalton,osbornejeffery@example.net,2025-09-14,PREMIUM,False
60,Justin Lowery,bryantlaurie@example.net,2025-09-24,PREMIUM,False
61,Linda Dodson DVM,jrivas@example.com,2026-07-05,VIP,False
62,Scott Cole,maryramirez@example.net,2025-08-19,REGULAR,False
63,Denise Jones,jimmy55@example.net,2024-10-09,REGULAR,False
64,David Benson,calebrussell@example.net,2025-08-04,VIP,False
65,Daniel Fisher,gateskathy@example.com,2025-08-13,VIP,False
66,Guy Molina,vmedina@example.net,2026-04-21,PREMIUM,False
67,Connie Robinson,ytucker@example.com,2026-01-09,PREMIUM,False
68,Jennifer Martin,ncalhounexample.net,2024-08-28,VIP,True
69,Leslie Alvarado,dayderek@example.com,2024-12-27,PREMIUM,False
70,James Lewis,matthew64@example.com,2025-02-19,REGULAR,False
71,Julie Curry,cookemichael@example.net,2024-09-30,REGULAR,False
72,Marissa Webster,jamessmith@example.org,2025-02-09,PREMIUM,False
73,Michael Elliott,stevenscott@example.com,2024-12-16,VIP,False
74,Tracey Higgins,tamirodriguez@example.org,2026-07-30,REGULAR,False
75,Michael Rubio,mdavid@example.org,2025-11-10,REGULAR,False
76,Lori Garcia,melissa91@example.net,2026-04-07,VIP,False
77,Joseph Stanley,huntermatthew@example.com,2026-05-08,VIP,False
78,Jeffrey Cox PhD,bzimmerman@example.org,2026-02-28,REGULAR,False
79,Marie Gilbert,umarshall@example.net,2025-03-04,PREMIUM,False
80,David Michael,nicole37@example.net,2025-11-25,PREMIUM,False
81,Gabrielle Snyder,hunter35@example.com,2025-04-29,REGULAR,False
82,Kyle Beard,blackjames@example.org,2026-02-18,REGULAR,False
83,Justin Allen,fbrewer@example.com,2026-04-15,PREMIUM,False
84,Edward Sullivan,kevinperkins@example.com,2025-10-11,VIP,False
85,Jessica Reese,michael74@example.com,2025-02-19,REGULAR,False
86,Nathan Stewart,jamesrodgers@example.com,2026-02-21,VIP,False
87,Paige Carlson,wallkenneth@example.com,2024-12-25,VIP,False
88,Michael Martinez,mccannangela@example.net,2024-11-14,PREMIUM,False
89,Nicole Garcia,andrewstaylor@example.com,2025-04-29,VIP,False
90,Anthony Everett,ewilson@example.com,2025-08-24,VIP,False
91,Mark Brown,lisaavery@example.org,2025-02-16,PREMIUM,False
92,Phillip Obrien,kimberlyjames@example.com,2025-03-26,VIP,False
93,Wanda Torres,lynchjody@example.org,2025-12-06,PREMIUM,False
94,Matthew Moore,andreamoore@example.com,2025-07-23,PREMIUM,False
95,Julie Johnson,jasmine71@example.net,2025-02-05,REGULAR,False
96,Rachel Weber,ronaldstephens@example.net,2024-12-01,REGULAR,False
97,Samantha Jones,lauralarson@example.net,2026-07-24,REGULAR,False
98,Caleb Barker,gbender@example.net,2025-08-26,REGULAR,False
99,Kyle Preston,cassandra01@example.org,2026-01-13,VIP,False
100,Laura Sampson,barbara27@example.net,2025-12-27,REGULAR,False
101,Donald Shea,fwalters@example.org,2025-08-08,PREMIUM,False
102,Gary Santiago,marksteele@example.com,2026-01-04,REGULAR,False
103,Robin Pierce,qmiller@example.com,2024-11-06,PREMIUM,False
104,Jennifer Robertson,sandovalamy@example.com,2024-09-19,REGULAR,False
