customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2026-07-01,REGULAR
2,Leslie Johnson,robinsonwilliam@example.org,2025-10-17,REGULAR
3,Matthew Gardner,shaneramirez@example.org,2026-03-20,VIP
4,Melissa Peterson,jasongallagher@example.org,2024-10-19,VIP
5,Ian Cooper,lindsay78@example.org,2026-07-25,REGULAR
6,Juan Calderon,barbara10@example.net,2025-02-01,REGULAR
7,Victoria Wyatt,jamesshawn@example.com,2024-12-12,REGULAR
8,Daniel Adams,lynchgeorge@example.net,2025-02-14,VIP
9,James Mayo,gabriellecameron@example.org,2025-02-01,REGULAR
10,Renee Morales,clarksherri@example.net,2025-04-09,VIP
11,Jonathan Wilkerson,ithomas@example.org,2026-03-09,REGULAR
12,Deborah Richards,icox@example.net,2025-08-26,PREMIUM
13,Anthony Rodriguez,laurahenderson@example.org,2025-06-02,REGULAR
14,Zachary Rice,frazierdanny@example.net,2026-03-14,REGULAR
15,Martin Rodriguez,amoore@example.net,2026-06-19,PREMIUM
16,Valerie Gill,harrellkenneth@example.net,2025-09-06,REGULAR
17,Brittany Farmer,georgetracy@example.org,2026-07-30,PREMIUM
18,William Roman,brianhumphrey@example.org,2024-10-13,PREMIUM
19,Rose Spence,davidalvarez@example.net,2024-12-14,PREMIUM
20,Shane Henderson,sarahcampos@example.net,2025-01-11,REGULAR
21,Jennifer Powers,samuel87@example.org,2025-02-16,VIP
22,George Chapman,briannasmith@example.net,2025-12-11,PREMIUM
23,Austin Johnson,chad34@example.net,2025-08-20,PREMIUM
24,Carlos Walls,esanchez@example.com,2025-01-02,VIP
25,Matthew Gomez,uowens@example.org,2026-01-13,PREMIUM
26,Maria Brown,lauren13@example.org,2025-01-02,VIP
27,Brenda White,ewright@example.com,2026-04-27,VIP
28,Krista Williams,novaksara@example.org,2024-12-15,PREMIUM
29,John Hancock,martinaaron@example.com,2025-03-01,REGULAR
30,Rachel Mitchell,smoore@example.org,2024-09-22,PREMIUM
31,Kimberly Adkins,williamsthomas@example.net,2024-12-08,VIP
32,Jordan York,larsonemma@example.org,2025-06-17,REGULAR
33,Steve Sanchez,harveyrobert@example.net,2025-10-21,REGULAR
34,Taylor Harris,john62@example.net,2025-12-22,VIP
