customer_sk,customer_id_nk,customer_key,first_name,last_name,marital_status,gender,create_date,birthdate,country,full_name,age
1,29483.0,AW00029483,Marc,Navarro,Married,,2026-01-27,1965-06-06,France,Marc Navarro,49.0
2,29466.0,AW00029466,Lance,Jimenez,Married,Male,2026-01-27,1949-05-25,Germany,Lance Jimenez,65.0
3,29433.0,AW00029433,Thomas,King,Married,Male,2026-01-27,1986-02-10,United Kingdom,Thomas King,28.0
4,29473.0,AW00029473,Carmen,Subram,Single,,2026-01-26,1965-11-19,United Kingdom,Carmen Subram,48.0
5,29449.0,AW00029449,Laura,Chen,Single,Female,2026-01-26,1946-12-04,Germany,Laura Chen,67.0
6,28241.0,AW00028241,Charles,King,Married,Male,2026-01-25,1969-12-01,United States,Charles King,44.0
7,28243.0,AW00028243,Marcus,Cook,Single,Male,2026-01-25,1981-04-12,United States,Marcus Cook,33.0
8,28242.0,AW00028242,Madison,Butler,Married,Female,2026-01-25,1969-12-31,United States,Madison Butler,44.0
9,28239.0,AW00028239,Richard,Ramirez,Single,Male,2026-01-25,1975-04-20,Canada,Richard Ramirez,39.0
10,28240.0,AW00028240,Eduardo,Clark,Married,Male,2026-01-25,1970-01-11,United States,Eduardo Clark,44.0
11,28245.0,AW00028245,Gavin,Henderson,Single,Male,2026-01-25,1961-07-04,Canada,Gavin Henderson,52.0
12,28238.0,AW00028238,Dalton,Flores,Single,Male,2026-01-25,1971-01-04,United States,Dalton Flores,43.0
13,28237.0,AW00028237,Hailey,Foster,Married,Female,2026-01-25,1970-12-10,United States,Hailey Foster,43.0
14,28236.0,AW00028236,Isabel,Diaz,Single,Female,2026-01-25,1976-07-09,United States,Isabel Diaz,37.0
15,28235.0,AW00028235,Cole,Rogers,Single,Male,2026-01-25,1970-08-11,United States,Cole Rogers,43.0
16,28244.0,AW00028244,Samantha,Davis,Married,Female,2026-01-25,1975-05-14,United States,Samantha Davis,39.0
17,28247.0,AW00028247,Jonathan,Adams,Single,Male,2026-01-25,1962-03-22,United States,Jonathan Adams,52.0
18,28246.0,AW00028246,Alexa,Gray,Single,Female,2026-01-25,1967-10-08,United States,Alexa Gray,46.0
19,28233.0,AW00028233,Patrick,Richardson,Single,Male,2026-01-25,1976-02-19,United States,Patrick Richardson,38.0
20,28248.0,AW00028248,Eric,Scott,Single,Male,2026-01-25,1968-11-12,Canada,Eric Scott,45.0
21,28249.0,AW00028249,Julia,Carter,Married,Female,2026-01-25,1968-08-29,United States,Julia Carter,45.0
22,28250.0,AW00028250,Tyrone,Dominguez,Married,Male,2026-01-25,1974-05-14,United States,Tyrone Dominguez,40.0
23,28251.0,AW00028251,Joe,Rubio,Married,Male,2026-01-25,1968-07-17,United States,Joe Rubio,45.0
24,28252.0,AW00028252,Sydney,Murphy,Married,Female,2026-01-25,1969-05-12,United States,Sydney Murphy,45.0
25,28253.0,AW00028253,Jeremiah,Green,Single,Male,2026-01-25,1974-05-07,United States,Jeremiah Green,40.0
26,28254.0,AW00028254,Jacqueline,Brooks,Single,Female,2026-01-25,1973-08-11,Canada,Jacqueline Brooks,40.0
27,28255.0,AW00028255,Robert,Clark,Single,Male,2026-01-25,1973-07-18,United States,Robert Clark,40.0
28,28256.0,AW00028256,Colin,Beck,Married,Male,2026-01-25,1968-04-16,United States,Colin Beck,46.0
29,28257.0,AW00028257,Zachary,Martin,Single,Male,2026-01-25,1973-04-14,United States,Zachary Martin,41.0
30,28258.0,AW00028258,Destiny,Bryant,Single,Female,2026-01-25,1968-03-08,United States,Destiny Bryant,46.0
31,28259.0,AW00028259,Samuel,Mitchell,Married,Male,2026-01-25,1973-11-29,United States,Samuel Mitchell,40.0
32,28234.0,AW00028234,Jack,Nelson,Married,Male,2026-01-25,1970-08-13,United States,Jack Nelson,43.0
33,28231.0,AW00028231,James,Powell,Single,Male,2026-01-25,1978-08-12,United States,James Powell,35.0
34,28232.0,AW00028232,Gavin,Russell,Single,Male,2026-01-25,1976-02-20,United States,Gavin Russell,38.0
35,28217.0,AW00028217,Kristy,Carlson,Single,Female,2026-01-25,1980-10-10,Australia,Kristy Carlson,33.0
36,28205.0,AW00028205,Carolyn,Mehta,Married,Female,2026-01-25,1973-08-31,Australia,Carolyn Mehta,40.0
37,28206.0,AW00028206,Angelica,Long,Single,Female,2026-01-25,1976-01-19,Australia,Angelica Long,38.0
38,28207.0,AW00028207,Larry,Moreno,Married,Male,2026-01-25,1975-11-08,Australia,Larry Moreno,38.0
39,28208.0,AW00028208,Karen,Sun,Single,Female,2026-01-25,1976-01-19,Australia,Karen Sun,38.0
40,28209.0,AW00028209,Krista,Carlson,Married,Female,2026-01-25,1974-05-08,Australia,Krista Carlson,40.0
41,28210.0,AW00028210,Meghan,Alan,Married,Female,2026-01-25,1973-11-30,Australia,Meghan Alan,40.0
42,28211.0,AW00028211,Randall,Suarez,Married,Male,2026-01-25,1974-04-23,Australia,Randall Suarez,40.0
43,28212.0,AW00028212,Melody,Hernandez,Married,Female,2026-01-25,1979-04-02,Australia,Melody Hernandez,35.0
44,28213.0,AW00028213,Jared,Morgan,Married,Male,2026-01-25,1979-03-09,Australia,Jared Morgan,35.0
45,28214.0,AW00028214,Hailey,King,Married,Female,2026-01-25,1979-03-09,Australia,Hailey King,35.0
46,28215.0,AW00028215,Priscilla,Shen,Single,Female,2026-01-25,1973-05-10,Australia,Priscilla Shen,41.0
47,28216.0,AW00028216,Adrienne,Ramos,Married,Female,2026-01-25,1972-07-23,Australia,Adrienne Ramos,41.0
48,28218.0,AW00028218,Denise,Arun,Married,Female,2026-01-25,1972-12-31,Australia,Denise Arun,41.0
49,28261.0,AW00028261,Stephanie,Griffin,Married,Female,2026-01-25,1967-01-19,Canada,Stephanie Griffin,47.0
50,28219.0,AW00028219,Chad,Goel,Single,Male,2026-01-25,1972-10-16,Australia,Chad Goel,41.0
51,28220.0,AW00028220,Kelsey,Xu,Single,Female,2026-01-25,1972-03-19,Australia,Kelsey Xu,42.0
52,28221.0,AW00028221,Isabella,Rodriguez,Married,Female,2026-01-25,1963-05-13,United States,Isabella Rodriguez,51.0
53,28222.0,AW00028222,Eduardo,Lewis,Single,Male,2026-01-25,1962-07-05,United States,Eduardo Lewis,51.0
54,28223.0,AW00028223,Jessica,Davis,Single,Female,2026-01-25,1968-07-03,United States,Jessica Davis,45.0
55,28224.0,AW00028224,Spencer,Henderson,Single,Male,2026-01-25,1962-08-03,United States,Spencer Henderson,51.0
56,28225.0,AW00028225,Robert,Ross,Married,Male,2026-01-25,1979-09-06,United States,Robert Ross,34.0
57,28226.0,AW00028226,Sebastian,Ramirez,Married,Male,2026-01-25,1961-11-20,United States,Sebastian Ramirez,52.0
58,28227.0,AW00028227,Caleb,Wang,Single,Male,2026-01-25,1962-03-14,United States,Caleb Wang,52.0
59,28228.0,AW00028228,Gloria,Reed,Single,Female,2026-01-25,1978-01-30,United States,Gloria Reed,36.0
60,28229.0,AW00028229,Samantha,Wilson,Single,Female,2026-01-25,1967-09-14,United States,Samantha Wilson,46.0
61,28230.0,AW00028230,Stephanie,Morgan,Single,Female,2026-01-25,1967-09-24,United States,Stephanie Morgan,46.0
62,28260.0,AW00028260,Hunter,Roberts,Single,Male,2026-01-25,1967-02-19,Canada,Hunter Roberts,47.0
63,28264.0,AW00028264,Nicole,Diaz,Single,Female,2026-01-25,1967-03-27,United States,Nicole Diaz,47.0
64,28262.0,AW00028262,Destiny,Diaz,Married,Female,2026-01-25,1972-07-03,United States,Destiny Diaz,41.0
65,28291.0,AW00028291,David,Miller,Single,Male,2026-01-25,1959-10-19,United States,David Miller,54.0
66,28293.0,AW00028293,Shelby,Cox,Single,Female,2026-01-25,1965-02-11,United States,Shelby Cox,49.0
67,28294.0,AW00028294,Alexis,Jenkins,Single,Female,2026-01-25,1960-02-01,United States,Alexis Jenkins,54.0
68,28295.0,AW00028295,Wyatt,Collins,Married,Male,2026-01-25,1959-08-21,United States,Wyatt Collins,54.0
69,28296.0,AW00028296,Thomas,Butler,Single,Male,2026-01-25,1964-09-12,United States,Thomas Butler,49.0
70,28297.0,AW00028297,Gabrielle,Edwards,Single,Female,2026-01-25,1964-03-19,United States,Gabrielle Edwards,50.0
71,28298.0,AW00028298,Maria,Edwards,Married,Female,2026-01-25,1959-02-19,United States,Maria Edwards,55.0
72,28299.0,AW00028299,Jonathan,Shan,Single,Male,2026-01-25,1973-06-20,United States,Jonathan Shan,41.0
73,28300.0,AW00028300,Abigail,Bennett,Single,Female,2026-01-25,1960-11-19,United States,Abigail Bennett,53.0
74,28301.0,AW00028301,Jasmine,Long,Single,Female,2026-01-25,1955-02-24,United States,Jasmine Long,59.0
75,28302.0,AW00028302,Caroline,Hughes,Married,Female,2026-01-25,1954-08-20,Canada,Caroline Hughes,59.0
76,28303.0,AW00028303,Justin,Lewis,Single,Male,2026-01-25,1975-11-24,Australia,Justin Lewis,38.0
77,28304.0,AW00028304,Colleen,Zeng,Married,Female,2026-01-25,1969-08-15,Australia,Colleen Zeng,44.0
78,28305.0,AW00028305,Patricia,Lopez,Single,Female,2026-01-25,1970-02-04,Australia,Patricia Lopez,44.0
79,28306.0,AW00028306,Elizabeth,Powell,Married,Female,2026-01-25,1974-05-28,Australia,Elizabeth Powell,40.0
80,28307.0,AW00028307,Morgan,Gray,Married,Female,2026-01-25,1968-08-22,Australia,Morgan Gray,45.0
81,28308.0,AW00028308,Hector,Serrano,Single,Male,2026-01-25,1974-10-03,Australia,Hector Serrano,39.0
82,28309.0,AW00028309,Julie,Lal,Married,Female,2026-01-25,1983-10-01,Australia,Julie Lal,30.0
83,28310.0,AW00028310,Ross,Sanchez,Married,Male,2026-01-25,1978-05-20,Australia,Ross Sanchez,36.0
84,28311.0,AW00028311,Terry,Raje,Single,Male,2026-01-25,1972-08-07,Australia,Terry Raje,41.0
85,28312.0,AW00028312,Joy,Jimenez,Single,Female,2026-01-25,1968-06-23,Australia,Joy Jimenez,46.0
86,28313.0,AW00028313,Brett,Perez,Single,Male,2026-01-25,1967-09-12,Australia,Brett Perez,46.0
87,28314.0,AW00028314,Dwayne,Romero,Single,Male,2026-01-25,1973-10-23,Australia,Dwayne Romero,40.0
88,28315.0,AW00028315,Stacy,Alonso,Single,Female,2026-01-25,1968-04-03,Australia,Stacy Alonso,46.0
89,28316.0,AW00028316,Jaime,Martin,Married,Female,2026-01-25,1967-12-09,Australia,Jaime Martin,46.0
90,28317.0,AW00028317,Ivan,Weber,Married,Male,2026-01-25,1972-10-29,Australia,Ivan Weber,41.0
91,28292.0,AW00028292,Alexandra,Smith,Single,Female,2026-01-25,1971-05-03,Canada,Alexandra Smith,43.0
92,28290.0,AW00028290,Ian,Brooks,Single,Male,2026-01-25,1959-10-13,Canada,Ian Brooks,54.0
93,28263.0,AW00028263,Jonathan,Lee,Married,Male,2026-01-25,1966-11-04,United States,Jonathan Lee,47.0
94,28289.0,AW00028289,Jack,Gonzales,Single,Male,2026-01-25,1966-03-20,United States,Jack Gonzales,48.0
95,28203.0,AW00028203,Victor,Gomez,Married,Male,2026-01-25,1974-12-26,Australia,Victor Gomez,39.0
96,28265.0,AW00028265,Shirleen,Travers,Single,Male,2026-01-25,1967-02-22,United States,Shirleen Travers,47.0
97,28266.0,AW00028266,Wyatt,Flores,Single,Male,2026-01-25,1966-09-20,United States,Wyatt Flores,47.0
98,28267.0,AW00028267,Jordan,Young,Married,Female,2026-01-25,1966-09-09,United States,Jordan Young,47.0
99,28268.0,AW00028268,Jordan,Campbell,Single,Female,2026-01-25,1972-07-09,United States,Jordan Campbell,41.0
100,28269.0,AW00028269,Alexandra,Green,Single,Female,2026-01-25,1966-08-23,United States,Alexandra Green,47.0
101,28270.0,AW00028270,Samuel,Long,Single,Male,2026-01-25,1966-03-22,United States,Samuel Long,48.0
102,28271.0,AW00028271,Sean,Gonzalez,Single,Male,2026-01-25,1960-12-01,United States,Sean Gonzalez,53.0
103,28272.0,AW00028272,Hunter,Jai,Married,Male,2026-01-25,1961-04-14,Canada,Hunter Jai,53.0
104,28273.0,AW00028273,Madeline,Mitchell,Married,Female,2026-01-25,1961-02-10,United States,Madeline Mitchell,53.0
105,28274.0,AW00028274,William,Rodriguez,Single,Male,2026-01-25,1965-11-30,United States,William Rodriguez,48.0
106,28275.0,AW00028275,Ian,Howard,Single,Male,2026-01-25,1959-12-15,United States,Ian Howard,54.0
107,28276.0,AW00028276,Christy,Deng,Married,Female,2026-01-25,1941-05-24,United States,Christy Deng,73.0
108,28277.0,AW00028277,Katrina,Deng,Single,Female,2026-01-25,1940-08-01,United States,Katrina Deng,73.0
109,28278.0,AW00028278,Jaime,Becker,Married,Male,2026-01-25,1941-01-17,United States,Jaime Becker,73.0
110,28279.0,AW00028279,Spencer,Simmons,Married,Male,2026-01-25,1941-05-22,United States,Spencer Simmons,73.0
111,28280.0,AW00028280,Tristan,Powell,Single,Male,2026-01-25,1940-08-21,United States,Tristan Powell,73.0
112,28281.0,AW00028281,Juan,Cox,Married,Male,2026-01-25,1941-06-24,United States,Juan Cox,73.0
113,28282.0,AW00028282,Cindy,Foster,Single,Female,2026-01-25,1942-01-18,United States,Cindy Foster,72.0
114,28283.0,AW00028283,Rachel,Long,Single,Female,2026-01-25,1971-01-07,Canada,Rachel Long,43.0
115,28284.0,AW00028284,Bailey,Kelly,Single,Female,2026-01-25,1965-09-02,Canada,Bailey Kelly,48.0
116,28285.0,AW00028285,Savannah,King,Married,Female,2026-01-25,1965-08-26,United States,Savannah King,48.0
117,28286.0,AW00028286,Destiny,Alexander,Married,Female,2026-01-25,1965-08-24,United States,Destiny Alexander,48.0
118,28287.0,AW00028287,Lauren,Bennett,Married,Female,2026-01-25,1971-05-13,United States,Lauren Bennett,43.0
119,28288.0,AW00028288,Marco,Srini,Single,Male,2026-01-25,1971-08-29,United States,Marco Srini,42.0
120,28204.0,AW00028204,Peter,Xu,Married,Male,2026-01-25,1980-09-28,Australia,Peter Xu,33.0
121,28200.0,AW00028200,Morgan,Henderson,Married,Female,2026-01-25,1963-09-07,United States,Morgan Henderson,50.0
122,28202.0,AW00028202,Maria,King,Single,Female,2026-01-25,1974-09-12,Australia,Maria King,39.0
123,28129.0,AW00028129,Justin,Griffin,Single,Male,2026-01-25,1979-09-03,Canada,Justin Griffin,34.0
124,28117.0,AW00028117,Craig,Vazquez,Single,Male,2026-01-25,1971-02-08,Australia,Craig Vazquez,43.0
125,28118.0,AW00028118,Briana,Jiménez,Married,Female,2026-01-25,1961-01-07,Australia,Briana Jiménez,53.0
126,28119.0,AW00028119,Curtis,Ma,Single,Male,2026-01-25,1966-04-06,Australia,Curtis Ma,48.0
127,28120.0,AW00028120,Pedro,Alvarez,Single,Male,2026-01-25,1966-07-16,Australia,Pedro Alvarez,47.0
128,28121.0,AW00028121,Julia,Robinson,Married,Female,2026-01-25,1980-08-14,Canada,Julia Robinson,33.0
129,28122.0,AW00028122,Gabriel,King,Married,Male,2026-01-25,1980-12-05,United States,Gabriel King,33.0
130,28123.0,AW00028123,Daisy,Ortega,Single,Female,2026-01-25,1980-08-11,United States,Daisy Ortega,33.0
131,28124.0,AW00028124,Mackenzie,Kelly,Married,Female,2026-01-25,1980-12-29,United States,Mackenzie Kelly,33.0
132,28125.0,AW00028125,Dalton,Jackson,Married,Male,2026-01-25,1981-03-21,United States,Dalton Jackson,33.0
133,28126.0,AW00028126,Anna,Johnson,Married,Female,2026-01-25,1980-07-11,United States,Anna Johnson,33.0
134,28127.0,AW00028127,Fernando,Price,Married,Male,2026-01-25,1980-12-15,United States,Fernando Price,33.0
135,28128.0,AW00028128,Jeremiah,Lee,Married,Male,2026-01-25,1979-10-18,United States,Jeremiah Lee,34.0
136,28130.0,AW00028130,Joshua,Taylor,Single,Male,2026-01-25,1978-08-02,Canada,Joshua Taylor,35.0
137,28201.0,AW00028201,Tyler,Martinez,Married,Male,2026-01-25,1975-03-25,Australia,Tyler Martinez,39.0
138,28131.0,AW00028131,Todd,Zhu,Single,Male,2026-01-25,1978-10-07,United States,Todd Zhu,35.0
139,28132.0,AW00028132,Clinton,Romero,Single,Male,2026-01-25,1978-03-12,Australia,Clinton Romero,36.0
140,28133.0,AW00028133,Willie,Huang,Single,Male,2026-01-25,1962-05-31,Australia,Willie Huang,52.0
141,28134.0,AW00028134,Terrance,Rana,Married,Male,2026-01-25,1962-05-23,Australia,Terrance Rana,52.0
142,28135.0,AW00028135,Carla,Madan,Single,Female,2026-01-25,1962-11-06,Australia,Carla Madan,51.0
143,28136.0,AW00028136,Kelli,Raje,Married,Female,2026-01-25,1962-09-23,Australia,Kelli Raje,51.0
144,28137.0,AW00028137,Kristi,Lopez,Single,Female,2026-01-25,1975-03-23,Australia,Kristi Lopez,39.0
145,28138.0,AW00028138,Marvin,Ramos,Single,Male,2026-01-25,1964-05-12,Australia,Marvin Ramos,50.0
146,28139.0,AW00028139,Carrie,Gutierrez,Married,Female,2026-01-25,1964-01-13,Australia,Carrie Gutierrez,50.0
147,28140.0,AW00028140,Gilbert,Kumar,Single,Male,2026-01-25,1969-12-31,Australia,Gilbert Kumar,44.0
148,28141.0,AW00028141,Joseph,Robinson,Married,Male,2026-01-25,1979-09-13,Canada,Joseph Robinson,34.0
149,28142.0,AW00028142,Willie,Lin,Single,Male,2026-01-25,1985-08-10,United States,Willie Lin,28.0
150,28116.0,AW00028116,Sabrina,Dominguez,Single,Female,2026-01-25,1969-08-01,Australia,Sabrina Dominguez,44.0
151,28115.0,AW00028115,Deanna,Jiménez,Married,Female,2026-01-25,1958-09-04,Australia,Deanna Jiménez,55.0
152,28114.0,AW00028114,Jared,Cox,Single,Male,2026-01-25,1958-12-11,Australia,Jared Cox,55.0
153,28113.0,AW00028113,Amanda,Powell,Single,Female,2026-01-25,1957-10-11,Australia,Amanda Powell,56.0
154,28088.0,AW00028088,Marshall,Lal,Married,Male,2026-01-25,1984-10-25,United States,Marshall Lal,29.0
155,28089.0,AW00028089,Xavier,Campbell,Married,Male,2026-01-25,1985-03-12,United States,Xavier Campbell,29.0
156,28090.0,AW00028090,Edward,Walker,Married,Male,2026-01-25,1984-10-02,United States,Edward Walker,29.0
157,28091.0,AW00028091,Valerie,Liang,Single,Female,2026-01-25,1949-12-23,Australia,Valerie Liang,64.0
158,28092.0,AW00028092,Morgan,Hall,Single,Female,2026-01-25,1984-06-14,Canada,Morgan Hall,30.0
159,28093.0,AW00028093,Brad,Kumar,Married,Male,2026-01-25,1983-08-26,United States,Brad Kumar,30.0
160,28094.0,AW00028094,Melanie,Peterson,Married,Female,2026-01-25,1984-05-25,United States,Melanie Peterson,30.0
161,28095.0,AW00028095,Natalie,Bryant,Married,Female,2026-01-25,1983-08-11,United States,Natalie Bryant,30.0
162,28096.0,AW00028096,Alexandra,Stewart,Married,Female,2026-01-25,1984-05-18,United States,Alexandra Stewart,30.0
163,28097.0,AW00028097,Jennifer,Barnes,Single,Female,2026-01-25,1984-03-02,United States,Jennifer Barnes,30.0
164,28098.0,AW00028098,Roger,Zhu,Married,Male,2026-01-25,1952-07-24,Australia,Roger Zhu,61.0
165,28099.0,AW00028099,Jesse,Turner,Married,Male,2026-01-25,1984-04-04,United States,Jesse Turner,30.0
166,28100.0,AW00028100,Kimberly,Gray,Single,Female,2026-01-25,1984-02-22,United States,Kimberly Gray,30.0
167,28101.0,AW00028101,Timothy,Bell,Single,Male,2026-01-25,1983-03-13,Canada,Timothy Bell,31.0
168,28102.0,AW00028102,Arturo,Deng,Married,Male,2026-01-25,1953-12-02,Australia,Arturo Deng,60.0
169,28103.0,AW00028103,Pedro,Martin,Single,Male,2026-01-25,1959-11-17,Australia,Pedro Martin,54.0
170,28104.0,AW00028104,Hannah,Williams,Married,Female,2026-01-25,1983-02-18,United States,Hannah Williams,31.0
171,28105.0,AW00028105,Hannah,Garcia,Married,Female,2026-01-25,1983-05-23,United States,Hannah Garcia,31.0
172,28106.0,AW00028106,Chloe,Williams,Married,Female,2026-01-25,1982-11-24,United States,Chloe Williams,31.0
173,28107.0,AW00028107,Tara,Simpson,Single,Female,2026-01-25,1955-09-22,Australia,Tara Simpson,58.0
174,28108.0,AW00028108,Roger,Yang,Single,Male,2026-01-25,1955-11-17,Australia,Roger Yang,58.0
175,28109.0,AW00028109,Leonard,Tang,Single,Male,2026-01-25,1955-09-03,Australia,Leonard Tang,58.0
176,28110.0,AW00028110,Cassandra,Sai,Married,Female,2026-01-25,1956-11-03,Australia,Cassandra Sai,57.0
177,28111.0,AW00028111,Jon,Zhang,Married,Male,2026-01-25,1957-01-03,Australia,Jon Zhang,57.0
178,28112.0,AW00028112,Savannah,Evans,Married,Female,2026-01-25,1986-01-19,United States,Savannah Evans,28.0
179,28143.0,AW00028143,Samuel,Gonzalez,Single,Male,2026-01-25,1985-05-11,United States,Samuel Gonzalez,29.0
180,28144.0,AW00028144,Noah,Phillips,Single,Male,2026-01-25,1980-02-20,United States,Noah Phillips,34.0
181,28145.0,AW00028145,Brandon,Jones,Single,Male,2026-01-25,1980-05-10,United States,Brandon Jones,34.0
182,28174.0,AW00028174,Marco,Subram,Married,Male,2026-01-25,1971-04-21,United States,Marco Subram,43.0
183,28176.0,AW00028176,Natalie,Roberts,Single,Female,2026-01-25,1972-12-31,Canada,Natalie Roberts,41.0
184,28177.0,AW00028177,Cameron,Henderson,Single,Male,2026-01-25,1973-02-14,Canada,Cameron Henderson,41.0
185,28178.0,AW00028178,Katherine,James,Single,Female,2026-01-25,1978-04-23,Canada,Katherine James,36.0
186,28179.0,AW00028179,Billy,Alvarez,Single,Male,2026-01-25,1973-04-26,United States,Billy Alvarez,41.0
187,28180.0,AW00028180,Jerry,Chander,Single,Male,2026-01-25,1973-01-31,United States,Jerry Chander,41.0
188,28181.0,AW00028181,Katherine,Rodriguez,Married,Female,2026-01-25,1976-08-30,United States,Katherine Rodriguez,37.0
189,28182.0,AW00028182,Fernando,Turner,Married,Male,2026-01-25,1966-03-05,United States,Fernando Turner,48.0
190,28183.0,AW00028183,Nicole,Howard,Married,Female,2026-01-25,1966-01-01,United States,Nicole Howard,48.0
191,28184.0,AW00028184,Madison,Russell,Married,Female,2026-01-25,1976-12-04,United States,Madison Russell,37.0
192,28185.0,AW00028185,Eric,Alexander,Married,Male,2026-01-25,1976-10-13,United States,Eric Alexander,37.0
193,28186.0,AW00028186,Jenny,Wagner,Married,Female,2026-01-25,1965-08-05,United States,Jenny Wagner,48.0
